flag_id,quote_id,flag_code,flag_category,flag_description,triggered_by_field,triggered_by_sku,severity,status,mitigation_comment,approver_comment
FLAG-00001,Q-2025-00001,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-ERP-HR-TNT,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00002,Q-2025-00003,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-SUP-ENT,Warning,Open,,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00003,Q-2025-00003,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,NX-SUP-ENT,Warning,Open,,DHI-C-002: Year-1 ACV is 43% of total — must be at least 50%. Adjust phasing.
FLAG-00004,Q-2025-00003,DHI-AB-001,Cloud,Approval bypass referenced in submission notes without supporting documentation,submission_notes,NX-SUP-ENT,Blocker,Waived,,Check the terms again.
FLAG-00005,Q-2025-00003,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-SUP-ENT,Blocker,Open,,Needs more detail on the business case.
FLAG-00006,Q-2025-00004,DHI-OP-001,On-Premise,Maintenance rate below SAP standard (18% of net licence value),maintenance_rate,,Warning,Waived,,Please review pricing before resubmission.
FLAG-00007,Q-2025-00004,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,Please address the flagged items.
FLAG-00008,Q-2025-00004,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,Pricing not aligned with policy.
FLAG-00009,Q-2025-00004,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Some concerns here — please revise.
FLAG-00010,Q-2025-00005,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-SUP-ENT,Blocker,Mitigated,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,Please address the flagged items.
FLAG-00011,Q-2025-00005,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,DHI-C-002: Year-1 ACV is 46% of total — must be at least 50%. Adjust phasing.
FLAG-00012,Q-2025-00005,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-ERP-FI-PP,Warning,Waived,,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00013,Q-2025-00005,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-ERP-FI-PP,Blocker,Open,,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00014,Q-2025-00005,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-ERP-FI-PP,Blocker,Open,,Needs more detail on the business case.
FLAG-00015,Q-2025-00006,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-AI-CAP-ENT,Warning,Open,,DHI-C-002: Year-1 ACV is 36% of total — must be at least 50%. Adjust phasing.
FLAG-00016,Q-2025-00006,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-SUP-STD,Blocker,Open,,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00017,Q-2025-00006,DHI-OP-001,On-Premise,Maintenance rate below SAP standard (18% of net licence value),maintenance_rate,NX-SUP-STD,Warning,Open,,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00018,Q-2025-00007,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-HCM-LM-USR,Blocker,Waived,,Please address the flagged items.
FLAG-00019,Q-2025-00007,DHI-SV-002,Services,Subcontractor rate exceeds approved ceiling rate for this geography,subcontractor_rate,NX-BDL-HCM-L,Warning,Open,,Please clarify the discount rationale.
FLAG-00020,Q-2025-00007,DHI-OP-002,On-Premise,Bundled perpetual + cloud without approved commercialisation path,deal_motion,,Blocker,Mitigated,Commercialisation path approved via separate governance track.,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00021,Q-2025-00007,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,,Warning,Open,,Needs more detail on the business case.
FLAG-00022,Q-2025-00008,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-ERP-MM-TNT,Blocker,Waived,,"DHI-C-005: net price on NX-HCM-EC-USR is €70.84, below LEP of €64.53. Correct before resubmission."
FLAG-00023,Q-2025-00008,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-BDL-RISE-M,Warning,Open,,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00024,Q-2025-00009,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Open,,Pricing not aligned with policy.
FLAG-00025,Q-2025-00009,DHI-OP-001,On-Premise,Maintenance rate below SAP standard (18% of net licence value),maintenance_rate,NX-AI-JOULE-USR,Warning,Mitigated,Maintenance rate approved by MU CFO for strategic customer.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00026,Q-2025-00009,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-ERP-BI-TNT,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00027,Q-2025-00009,DHI-OP-002,On-Premise,Bundled perpetual + cloud without approved commercialisation path,deal_motion,,Blocker,Mitigated,Commercialisation path approved via separate governance track.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00028,Q-2025-00010,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,This doesn't look right. Please fix.
FLAG-00029,Q-2025-00010,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,NX-ERP-MM-TNT,Warning,Open,,Check the terms again.
FLAG-00030,Q-2025-00011,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,NX-ERP-CX-TNT,Warning,Accepted,Revenue allocation schedule attached; legal reviewed.,
FLAG-00031,Q-2025-00011,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Accepted,SSP documentation added to quote record; allocation schedule prepared.,
FLAG-00032,Q-2025-00011,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Open,,
FLAG-00033,Q-2025-00012,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-SUP-STD,Blocker,Open,,Check the terms again.
FLAG-00034,Q-2025-00012,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-HCM-PAY-EMP,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Not approved in current form.
FLAG-00035,Q-2025-00012,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Open,,Check the terms again.
FLAG-00036,Q-2025-00014,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-HCM-CT-USR,Warning,Open,,
FLAG-00037,Q-2025-00014,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-HCM-CT-USR,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,
FLAG-00038,Q-2025-00016,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,,Blocker,Accepted,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,
FLAG-00039,Q-2025-00016,DHI-AB-001,Cloud,Approval bypass referenced in submission notes without supporting documentation,submission_notes,NX-ERP-CONS2-TXN,Blocker,Mitigated,Bypass documentation uploaded; authorised by Regional GCF Head.,
FLAG-00040,Q-2025-00016,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-ERP-SC-TNT,Blocker,Accepted,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,
FLAG-00041,Q-2025-00017,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,
FLAG-00042,Q-2025-00017,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-HCM-SP-USR,Blocker,Open,,
FLAG-00043,Q-2025-00019,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,
FLAG-00044,Q-2025-00019,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Mitigated,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,
FLAG-00045,Q-2025-00019,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-SUP-STD,Blocker,Accepted,SSP documentation added to quote record; allocation schedule prepared.,
FLAG-00046,Q-2025-00020,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-HCM-WELL-USR,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Review and resubmit.
FLAG-00047,Q-2025-00020,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Open,,Needs more detail on the business case.
FLAG-00048,Q-2025-00020,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-HCM-WELL-USR,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,"DHI-C-005: net price on NX-HCM-EC-USR is €64.79, below LEP of €57.66. Correct before resubmission."
FLAG-00049,Q-2025-00021,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,,Warning,Mitigated,Customer informed of deprecation; successor SKU offered.,
FLAG-00050,Q-2025-00021,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-HCM-WF-USR,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,
FLAG-00051,Q-2025-00022,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Open,,This doesn't look right. Please fix.
FLAG-00052,Q-2025-00023,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-ERP-FI-TNT,Blocker,Open,,"DHI-C-005: net price on NX-HCM-EC-USR is €40.52, below LEP of €81.60. Correct before resubmission."
FLAG-00053,Q-2025-00023,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,"DHI-C-005: net price on NX-HCM-EC-USR is €72.95, below LEP of €53.43. Correct before resubmission."
FLAG-00054,Q-2025-00023,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Waived,,Check the terms again.
FLAG-00055,Q-2025-00024,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-HCM-INTG-CONS,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00056,Q-2025-00024,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-HCM-INTG-CONS,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00057,Q-2025-00024,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-BDL-HCM-M,Blocker,Waived,,DHI-C-002: Year-1 ACV is 48% of total — must be at least 50%. Adjust phasing.
FLAG-00058,Q-2025-00025,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-AI-JOULE-USR,Blocker,Open,,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00059,Q-2025-00026,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-BDL-HCM-S,Blocker,Open,,DHI-C-002: Year-1 ACV is 37% of total — must be at least 50%. Adjust phasing.
FLAG-00060,Q-2025-00027,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Open,,DHI-C-002: Year-1 ACV is 46% of total — must be at least 50%. Adjust phasing.
FLAG-00061,Q-2025-00028,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Open,,"DHI-C-005: net price on NX-HCM-EC-USR is €62.82, below LEP of €66.47. Correct before resubmission."
FLAG-00062,Q-2025-00028,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-BDL-RISE-M,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,"DHI-C-005: net price on NX-HCM-EC-USR is €63.81, below LEP of €54.92. Correct before resubmission."
FLAG-00063,Q-2025-00028,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-BDL-RISE-M,Blocker,Waived,,This doesn't look right. Please fix.
FLAG-00064,Q-2025-00029,DHI-OP-002,On-Premise,Bundled perpetual + cloud without approved commercialisation path,deal_motion,NX-HCM-PAY-EMP,Blocker,Mitigated,Commercialisation path approved via separate governance track.,Please review pricing before resubmission.
FLAG-00065,Q-2025-00029,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Open,,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00066,Q-2025-00030,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,NX-SUP-ENT,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,Please clarify the discount rationale.
FLAG-00067,Q-2025-00031,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-AN-RPT-USR,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,Please address the flagged items.
FLAG-00068,Q-2025-00031,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-AN-ML-USR,Blocker,Open,,This doesn't look right. Please fix.
FLAG-00069,Q-2025-00031,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-SUP-STD,Blocker,Open,,Please clarify the discount rationale.
FLAG-00070,Q-2025-00031,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Open,,DHI-C-002: Year-1 ACV is 42% of total — must be at least 50%. Adjust phasing.
FLAG-00071,Q-2025-00032,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-AN-ML-USR,Blocker,Waived,,
FLAG-00072,Q-2025-00033,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-AI-CAP-ENT,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Some concerns here — please revise.
FLAG-00073,Q-2025-00033,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-ERP-FI-PP,Blocker,Open,,Pricing not aligned with policy.
FLAG-00074,Q-2025-00034,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-HCM-LM-LEG,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00075,Q-2025-00034,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,Needs more detail on the business case.
FLAG-00076,Q-2025-00034,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-HCM-LM-LEG,Blocker,Waived,,Some concerns here — please revise.
FLAG-00077,Q-2025-00035,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00078,Q-2025-00035,DHI-AB-001,Cloud,Approval bypass referenced in submission notes without supporting documentation,submission_notes,NX-SUP-STD,Blocker,Open,,Pricing not aligned with policy.
FLAG-00079,Q-2025-00036,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-AI-CAP-ENT,Blocker,Accepted,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,"DHI-C-005: net price on NX-HCM-EC-USR is €77.77, below LEP of €82.81. Correct before resubmission."
FLAG-00080,Q-2025-00036,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00081,Q-2025-00036,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Accepted,Pricing corrected to LEP floor; resubmission pending.,Pricing not aligned with policy.
FLAG-00082,Q-2025-00036,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,,Warning,Open,,Pricing not aligned with policy.
FLAG-00083,Q-2025-00038,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Open,,Pricing not aligned with policy.
FLAG-00084,Q-2025-00038,DHI-SV-001,Services,Fixed-fee services included without signed Statement of Work on file,services_line,,Blocker,Open,,Not approved in current form.
