flag_id,quote_id,flag_code,flag_category,flag_description,triggered_by_field,triggered_by_sku,severity,status,mitigation_comment,approver_comment
FLAG-00085,Q-2025-00038,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,NX-BDL-AN-ENT,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,DHI-C-002: Year-1 ACV is 32% of total — must be at least 50%. Adjust phasing.
FLAG-00086,Q-2025-00038,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,NX-BDL-AN-ENT,Warning,Mitigated,Customer informed of deprecation; successor SKU offered.,Review and resubmit.
FLAG-00087,Q-2025-00038,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-AN-DW-TNT,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,Check the terms again.
FLAG-00088,Q-2025-00039,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,NX-SUP-ENT,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00089,Q-2025-00039,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-AI-CAP-STD,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00090,Q-2025-00039,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-SUP-ENT,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,Please review pricing before resubmission.
FLAG-00091,Q-2025-00040,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Please address the flagged items.
FLAG-00092,Q-2025-00041,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-HCM-WELL-USR,Blocker,Open,,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00093,Q-2025-00041,DHI-SV-001,Services,Fixed-fee services included without signed Statement of Work on file,services_line,,Blocker,Mitigated,SoW signed and uploaded to deal folder.,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00094,Q-2025-00041,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Mitigated,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00095,Q-2025-00041,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,,Warning,Mitigated,Customer informed of deprecation; successor SKU offered.,Needs more detail on the business case.
FLAG-00096,Q-2025-00041,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-SUP-ENT,Warning,Waived,,Not approved in current form.
FLAG-00097,Q-2025-00041,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-SUP-ENT,Blocker,Accepted,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,Review and resubmit.
FLAG-00098,Q-2025-00043,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,NX-SUP-ENT,Warning,Mitigated,Customer informed of deprecation; successor SKU offered.,DHI-C-002: Year-1 ACV is 34% of total — must be at least 50%. Adjust phasing.
FLAG-00099,Q-2025-00043,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Open,,Not approved in current form.
FLAG-00100,Q-2025-00043,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-HCM-DEI-USR,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Not approved in current form.
FLAG-00101,Q-2025-00045,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,,Warning,Mitigated,Customer informed of deprecation; successor SKU offered.,This doesn't look right. Please fix.
FLAG-00102,Q-2025-00045,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-AI-DOC-USR,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,This doesn't look right. Please fix.
FLAG-00103,Q-2025-00045,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,,Warning,Open,,Please address the flagged items.
FLAG-00104,Q-2025-00045,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-AI-DOC-USR,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Please clarify the discount rationale.
FLAG-00105,Q-2025-00047,DHI-AB-001,Cloud,Approval bypass referenced in submission notes without supporting documentation,submission_notes,,Blocker,Open,,
FLAG-00106,Q-2025-00047,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-SUP-ENT,Blocker,Open,,
FLAG-00107,Q-2025-00047,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,
FLAG-00108,Q-2025-00047,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,,Blocker,Open,,
FLAG-00109,Q-2025-00048,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-AN-STRM-OVG,Blocker,Open,,Check the terms again.
FLAG-00110,Q-2025-00049,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Open,,This doesn't look right. Please fix.
FLAG-00111,Q-2025-00049,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-ERP-CONS-TXN,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00112,Q-2025-00049,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-ERP-PM-TNT,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,"DHI-C-005: net price on NX-HCM-EC-USR is €73.40, below LEP of €54.87. Correct before resubmission."
FLAG-00113,Q-2025-00049,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-SUP-STD,Blocker,Open,,DHI-C-002: Year-1 ACV is 28% of total — must be at least 50%. Adjust phasing.
FLAG-00114,Q-2025-00049,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,Needs more detail on the business case.
FLAG-00115,Q-2025-00050,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-HCM-INTG-CONS,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,Needs more detail on the business case.
FLAG-00116,Q-2025-00050,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00117,Q-2025-00050,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Mitigated,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00118,Q-2025-00051,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-HCM-TIME-USR,Blocker,Accepted,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,
FLAG-00119,Q-2025-00051,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-HCM-TIME-USR,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,
FLAG-00120,Q-2025-00052,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,
FLAG-00121,Q-2025-00053,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-AN-BI-USR,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00122,Q-2025-00053,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-AN-BI-USR,Warning,Open,,Please review pricing before resubmission.
FLAG-00123,Q-2025-00054,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-ERP-CONS2-TXN,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Review and resubmit.
FLAG-00124,Q-2025-00054,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Accepted,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00125,Q-2025-00054,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-ERP-PM-TNT,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,DHI-C-002: Year-1 ACV is 43% of total — must be at least 50%. Adjust phasing.
FLAG-00126,Q-2025-00054,DHI-SV-001,Services,Fixed-fee services included without signed Statement of Work on file,services_line,NX-ERP-CONS2-TXN,Blocker,Mitigated,SoW signed and uploaded to deal folder.,Some concerns here — please revise.
FLAG-00127,Q-2025-00054,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,NX-BDL-RISE-S,Warning,Open,,DHI-C-002: Year-1 ACV is 41% of total — must be at least 50%. Adjust phasing.
FLAG-00128,Q-2025-00055,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-HCM-PAY-EMP,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,
FLAG-00129,Q-2025-00055,DHI-SV-002,Services,Subcontractor rate exceeds approved ceiling rate for this geography,subcontractor_rate,NX-AI-TOKN-CONS,Warning,Mitigated,Rate adjustment applied; back within approved ceiling.,
FLAG-00130,Q-2025-00055,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-HCM-PAY-EMP,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,
FLAG-00131,Q-2025-00056,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Open,,
FLAG-00132,Q-2025-00057,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-AN-ML-USR,Blocker,Open,,
FLAG-00133,Q-2025-00059,DHI-OP-002,On-Premise,Bundled perpetual + cloud without approved commercialisation path,deal_motion,NX-AI-CAP-STD,Blocker,Accepted,Commercialisation path approved via separate governance track.,
FLAG-00134,Q-2025-00059,DHI-SV-001,Services,Fixed-fee services included without signed Statement of Work on file,services_line,NX-SUP-ENT,Blocker,Accepted,SoW signed and uploaded to deal folder.,
FLAG-00135,Q-2025-00060,DHI-SV-001,Services,Fixed-fee services included without signed Statement of Work on file,services_line,,Blocker,Accepted,SoW signed and uploaded to deal folder.,
FLAG-00136,Q-2025-00061,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Open,,Please clarify the discount rationale.
FLAG-00137,Q-2025-00062,DHI-SV-002,Services,Subcontractor rate exceeds approved ceiling rate for this geography,subcontractor_rate,,Warning,Open,,
FLAG-00138,Q-2025-00062,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-SUP-ENT,Warning,Open,,
FLAG-00139,Q-2025-00064,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-HCM-EC-USR,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,
FLAG-00140,Q-2025-00064,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,
FLAG-00141,Q-2025-00065,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,
FLAG-00142,Q-2025-00065,DHI-AB-001,Cloud,Approval bypass referenced in submission notes without supporting documentation,submission_notes,,Blocker,Accepted,Bypass documentation uploaded; authorised by Regional GCF Head.,
FLAG-00143,Q-2025-00065,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-SUP-STD,Blocker,Accepted,SSP documentation added to quote record; allocation schedule prepared.,
FLAG-00144,Q-2025-00066,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,
FLAG-00145,Q-2025-00067,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Accepted,Pricing corrected to LEP floor; resubmission pending.,
FLAG-00146,Q-2025-00069,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-AI-TOKN-CONS,Warning,Accepted,AI unit inclusion confirmed with customer; business case attached.,
FLAG-00147,Q-2025-00069,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Mitigated,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,
FLAG-00148,Q-2025-00069,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-AI-TOKN-CONS,Blocker,Open,,
FLAG-00149,Q-2025-00070,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,,Blocker,Accepted,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,
FLAG-00150,Q-2025-00070,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-ERP-BI-TNT,Blocker,Accepted,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,
FLAG-00151,Q-2025-00070,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,
FLAG-00152,Q-2025-00071,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,
FLAG-00153,Q-2025-00071,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Open,,
FLAG-00154,Q-2025-00072,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Open,,
FLAG-00155,Q-2025-00072,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-ERP-CONS2-TXN,Warning,Open,,
FLAG-00156,Q-2025-00072,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,NX-ERP-FI-TNT,Warning,Open,,
FLAG-00157,Q-2025-00073,DHI-OP-001,On-Premise,Maintenance rate below SAP standard (18% of net licence value),maintenance_rate,NX-ERP-CX-TNT,Warning,Open,,
FLAG-00158,Q-2025-00073,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,
FLAG-00159,Q-2025-00074,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,NX-SUP-STD,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,Not approved in current form.
FLAG-00160,Q-2025-00074,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Open,,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00161,Q-2025-00074,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Open,,DHI-C-002: Year-1 ACV is 48% of total — must be at least 50%. Adjust phasing.
FLAG-00162,Q-2025-00074,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,NX-SUP-STD,Blocker,Open,,Some concerns here — please revise.
FLAG-00163,Q-2025-00074,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,DHI-C-003: AI capacity unit not justified in submission notes. Add customer confirmation.
FLAG-00164,Q-2025-00076,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-ERP-FI-TNT,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,
FLAG-00165,Q-2025-00078,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,,Warning,Waived,,Please address the flagged items.
FLAG-00166,Q-2025-00078,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00167,Q-2025-00079,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Accepted,Pricing corrected to LEP floor; resubmission pending.,
FLAG-00168,Q-2025-00079,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Accepted,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,
FLAG-00169,Q-2025-00081,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Open,,
FLAG-00170,Q-2025-00083,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Accepted,Pricing corrected to LEP floor; resubmission pending.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00171,Q-2025-00083,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,,Blocker,Open,,Please address the flagged items.
FLAG-00172,Q-2025-00084,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,NX-AI-DOC-USR,Warning,Open,,
FLAG-00173,Q-2025-00085,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,NX-AI-CAP-STD,Warning,Waived,,DHI-C-002: Year-1 ACV is 40% of total — must be at least 50%. Adjust phasing.
FLAG-00174,Q-2025-00056,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-AI-CAP-ENT,Warning,Open,,
